iter	Passed	Remaining
616	5267	3269
617	5276	3261
618	5285	3253
619	5293	3244
620	5302	3236
621	5311	3227
622	5320	3219
623	5329	3211
624	5337	3202
625	5346	3194
626	5355	3185
627	5363	3177
628	5372	3168
629	5381	3160
630	5390	3152
631	5398	3143
632	5407	3135
633	5416	3126
634	5424	3118
635	5433	3109
636	5442	3101
637	5450	3092
638	5458	3083
639	5470	3077
640	5478	3068
641	5487	3060
642	5496	3051
643	5504	3042
644	5512	3034
645	5520	3025
646	5528	3016
647	5537	3007
648	5544	2998
649	5553	2990
650	5561	2981
651	5569	2972
652	5578	2964
653	5586	2955
654	5595	2946
655	5603	2938
656	5611	2929
657	5619	2920
658	5628	2912
659	5637	2904
660	5646	2895
661	5654	2887
662	5662	2878
663	5671	2869
664	5679	2861
665	5688	2852
666	5696	2844
667	5705	2835
668	5713	2826
669	5722	2818
670	5730	2809
671	5738	2800
672	5747	2792
673	5755	2783
674	5764	2775
675	5772	2766
676	5780	2757
677	5788	2749
678	5797	2740
679	5804	2731
680	5813	2723
681	5822	2714
682	5830	2706
683	5839	2697
684	5848	2689
685	5856	2680
686	5865	2672
687	5873	2663
688	5882	2655
689	5890	2646
690	5898	2637
691	5907	2629
692	5916	2620
693	5924	2612
694	5933	2603
695	5941	2595
696	5950	2586
697	5961	2579
698	5970	2571
699	5980	2562
700	5988	2554
701	5997	2546
702	6006	2537
703	6014	2528
704	6023	2520
705	6032	2512
706	6041	2503
707	6050	2495
708	6059	2486
709	6068	2478
710	6076	2470
711	6085	2461
712	6093	2452
713	6102	2444
714	6110	2435
715	6119	2427
716	6128	2418
717	6137	2410
718	6145	2401
719	6154	2393
720	6163	2385
721	6172	2376
722	6180	2367
723	6188	2359
724	6196	2350
725	6205	2342
726	6214	2333
727	6222	2325
728	6231	2316
729	6239	2307
730	6247	2299
731	6256	2290
732	6265	2282
733	6273	2273
734	6282	2265
735	6291	2256
736	6299	2248
737	6308	2239
738	6317	2231
739	6325	2222
740	6333	2213
741	6341	2205
742	6350	2196
743	6359	2188
744	6368	2179
745	6377	2171
746	6386	2163
747	6394	2154
748	6403	2145
749	6412	2137
750	6420	2128
751	6429	2120
752	6437	2111
753	6445	2103
754	6457	2095
755	6466	2087
756	6475	2078
757	6483	2069
758	6492	2061
759	6500	2052
760	6509	2044
761	6518	2035
762	6527	2027
763	6535	2018
764	6544	2010
765	6553	2001
766	6561	1993
767	6570	1984
768	6579	1976
769	6587	1967
770	6596	1959
771	6604	1950
772	6613	1942
773	6621	1933
774	6629	1924
775	6638	1916
776	6647	1907
777	6654	1898
778	6663	1890
779	6672	1881
780	6680	1873
781	6689	1864
782	6698	1856
783	6705	1847
784	6714	1838
785	6722	1830
786	6730	1821
787	6740	1813
788	6748	1804
789	6757	1796
790	6766	1787
791	6773	1778
792	6782	1770
793	6791	1762
794	6799	1753
795	6808	1744
796	6817	1736
797	6826	1728
798	6835	1719
799	6844	1711
800	6852	1702
801	6861	1693
802	6870	1685
803	6878	1676
804	6887	1668
805	6895	1659
806	6904	1651
807	6912	1642
808	6921	1634
809	6929	1625
810	6938	1616
811	6946	1608
812	6954	1599
813	6966	1591
814	6974	1583
815	6982	1574
816	6991	1566
817	7000	1557
818	7009	1549
819	7018	1540
820	7027	1532
821	7036	1523
822	7045	1515
823	7053	1506
824	7062	1498
825	7070	1489
826	7079	1480
827	7087	1472
828	7096	1463
829	7105	1455
830	7114	1446
831	7122	1438
832	7131	1429
833	7139	1421
834	7148	1412
835	7156	1403
836	7164	1395
837	7173	1386
838	7181	1378
839	7189	1369
840	7198	1360
841	7206	1352
842	7215	1343
843	7224	1335
844	7232	1326
845	7240	1318
846	7249	1309
847	7257	1300
848	7266	1292
849	7274	1283
850	7282	1275
851	7291	1266
852	7300	1258
853	7308	1249
854	7316	1240
855	7325	1232
856	7333	1223
857	7342	1215
858	7351	1206
859	7360	1198
860	7369	1189
861	7379	1181
862	7388	1172
863	7397	1164
864	7407	1156
865	7415	1147
866	7424	1138
867	7433	1130
868	7442	1121
869	7452	1113
870	7461	1105
871	7473	1097
872	7482	1088
873	7491	1079
874	7499	1071
875	7508	1062
876	7517	1054
877	7525	1045
878	7534	1037
879	7543	1028
880	7551	1020
881	7560	1011
882	7568	1002
883	7576	994
884	7585	985
885	7594	977
886	7602	968
887	7611	960
888	7619	951
889	7628	942
890	7637	934
891	7645	925
892	7654	917
893	7662	908
894	7670	899
895	7678	891
896	7687	882
897	7696	874
898	7704	865
899	7712	856
900	7720	848
901	7729	839
902	7737	831
903	7746	822
904	7754	814
905	7763	805
906	7772	796
907	7781	788
908	7789	779
909	7798	771
910	7806	762
911	7815	754
912	7824	745
913	7832	736
914	7840	728
915	7848	719
916	7857	711
917	7866	702
918	7874	694
919	7883	685
920	7890	676
921	7899	668
922	7907	659
923	7916	651
924	7925	642
925	7933	634
926	7942	625
927	7950	616
928	7959	608
929	7968	599
930	7979	591
931	7988	582
932	7996	574
933	8005	565
934	8013	557
935	8022	548
936	8030	539
937	8038	531
938	8046	522
939	8055	514
940	8063	505
941	8072	497
942	8081	488
943	8089	479
944	8098	471
945	8106	462
946	8114	454
947	8123	445
948	8131	436
949	8139	428
950	8148	419
951	8157	411
952	8166	402
953	8174	394
954	8182	385
955	8191	377
956	8199	368
957	8207	359
958	8216	351
959	8225	342
960	8234	334
961	8243	325
962	8252	317
963	8260	308
964	8269	299
965	8277	291
966	8285	282
967	8294	274
968	8302	265
969	8311	257
970	8319	248
971	8327	239
972	8335	231
973	8344	222
974	8353	214
975	8361	205
976	8370	197
977	8378	188
978	8387	179
979	8396	171
980	8404	162
981	8413	154
982	8422	145
983	8430	137
984	8438	128
985	8447	119
986	8456	111
987	8464	102
988	8476	94
989	8484	85
990	8493	77
991	8501	68
992	8510	59
993	8518	51
994	8527	42
995	8535	34
996	8545	25
997	8554	17
998	8562	8
999	8570	0
